"Town","Pct Population Under 18 100-200% FPL","90% MoE"
"Connecticut",0.151,0.004
"Bethel",0.14,0.041
"Bridgeport",0.301,0.026
"Brookfield",0.028,0.024
"Danbury",0.233,0.04
"Darien",0.009,0.014
"Easton",0.013,0.031
"Fairfield",0.051,0.013
"Greenwich",0.075,0.018
"Monroe",0.098,0.042
"New Canaan",0.064,0.037
"New Fairfield",0.066,0.034
"Newtown",0.092,0.031
"Norwalk",0.149,0.029
"Redding",0.018,0.028
"Ridgefield",0.023,0.016
"Shelton",0.076,0.026
"Sherman",0.046,0.067
"Stamford",0.193,0.027
"Stratford",0.174,0.037
"Trumbull",0.045,0.016
"Weston",0.017,0.023
"Westport",0.021,0.014
"Wilton",0.032,0.018
"Avon",0.036,0.026
"Berlin",0.059,0.049
"Bloomfield",0.145,0.06
"Bristol",0.177,0.038
"Burlington",0.018,0.027
"Canton",0.056,0.048
"East Granby",0.019,0.064
"East Hartford",0.269,0.045
"East Windsor",0.238,0.143
"Enfield",0.106,0.029
"Farmington",0.042,0.02
"Glastonbury",0.079,0.027
"Granby",0.018,0.031
"Hartford",0.301,0.028
"Hartland",0.165,0.09
"Manchester",0.236,0.042
"Marlborough",0.155,0.107
"New Britain",0.304,0.042
"Newington",0.14,0.045
"Plainville",0.25,0.097
"Rocky Hill",0.107,0.05
"Simsbury",0.075,0.036
"Southington",0.079,0.023
"South Windsor",0.075,0.042
"Suffield",0.057,0.039
"West Hartford",0.102,0.023
"Wethersfield",0.089,0.035
"Windsor",0.126,0.035
"Windsor Locks",0.098,0.057
"Barkhamsted",0.018,0.06
"Bethlehem",0.268,0.194
"Bridgewater",0.305,0.227
"Canaan",0.099,0.249
"Colebrook",0.116,0.171
"Cornwall",0.099,0.105
"Goshen",0.07,0.089
"Harwinton",0.051,0.062
"Kent",0.156,0.147
"Litchfield",0.12,0.06
"Morris",0.134,0.113
"New Hartford",0,0.04
"New Milford",0.135,0.046
"Norfolk",0.14,0.157
"North Canaan",0.217,0.219
"Plymouth",0.187,0.074
"Roxbury",0.104,0.132
"Salisbury",0.162,0.163
"Sharon",0.273,0.232
"Thomaston",0.109,0.075
"Torrington",0.196,0.048
"Warren",0.11,0.144
"Washington",0.091,0.109
"Watertown",0.074,0.035
"Winchester",0.196,0.109
"Woodbury",0.109,0.061
"Chester",0.074,0.098
"Clinton",0.111,0.053
"Cromwell",0.072,0.046
"Deep River",0.271,0.177
"Durham",0.035,0.049
"East Haddam",0.077,0.051
"East Hampton",0.048,0.04
"Essex",0.057,0.065
"Haddam",0.063,0.078
"Killingworth",0.068,0.076
"Middlefield",0.099,0.074
"Middletown",0.128,0.032
"Old Saybrook",0.19,0.111
"Portland",0.031,0.035
"Westbrook",0.121,0.118
"Ansonia",0.18,0.072
"Beacon Falls",0.097,0.081
"Bethany",0.031,0.044
"Branford",0.084,0.033
"Cheshire",0.019,0.016
"Derby",0.171,0.094
"East Haven",0.159,0.052
"Guilford",0.056,0.032
"Hamden",0.164,0.037
"Madison",0.042,0.023
"Meriden",0.255,0.041
"Middlebury",0.097,0.069
"Milford",0.122,0.031
"Naugatuck",0.131,0.04
"New Haven",0.24,0.028
"North Branford",0.154,0.077
"North Haven",0.061,0.037
"Orange",0.025,0.025
"Oxford",0.042,0.04
"Prospect",0.035,0.04
"Seymour",0.087,0.041
"Southbury",0.093,0.045
"Wallingford",0.075,0.021
"Waterbury",0.24,0.028
"West Haven",0.249,0.048
"Wolcott",0.061,0.034
"Woodbridge",0.086,0.061
"Bozrah",0.163,0.131
"Colchester",0.129,0.05
"East Lyme",0.057,0.031
"Franklin",0.109,0.104
"Griswold",0.227,0.118
"Groton",0.221,0.052
"Lebanon",0.055,0.054
"Ledyard",0.101,0.051
"Lisbon",0.118,0.085
"Lyme",0.223,0.188
"Montville",0.118,0.047
"New London",0.259,0.064
"North Stonington",0.258,0.176
"Norwich",0.204,0.041
"Old Lyme",0.082,0.061
"Preston",0.27,0.169
"Salem",0.037,0.054
"Sprague",0.044,0.081
"Stonington",0.062,0.036
"Voluntown",0.145,0.123
"Waterford",0.102,0.042
"Andover",0.085,0.081
"Bolton",0.079,0.068
"Columbia",0.228,0.148
"Coventry",0.045,0.045
"Ellington",0.086,0.048
"Hebron",0.082,0.053
"Mansfield",0.112,0.078
"Somers",0.089,0.048
"Stafford",0.169,0.069
"Tolland",0.068,0.042
"Union",0.094,0.241
"Vernon",0.147,0.048
"Willington",0.18,0.123
"Ashford",0.307,0.156
"Brooklyn",0.271,0.165
"Canterbury",0.017,0.054
"Chaplin",0.088,0.093
"Eastford",0.047,0.118
"Hampton",0.078,0.14
"Killingly",0.142,0.05
"Plainfield",0.133,0.057
"Pomfret",0.031,0.056
"Putnam",0.294,0.12
"Scotland",0.204,0.14
"Sterling",0.23,0.147
"Thompson",0.156,0.088
"Windham",0.27,0.068
"Woodstock",0.038,0.054
