"Town","Pct Population Under 18 below 200% FPL","90% MoE"
"Connecticut",0.286,0.005
"Bethel",0.194,0.044
"Bridgeport",0.633,0.032
"Brookfield",0.037,0.029
"Danbury",0.352,0.044
"Darien",0.08,0.035
"Easton",0.03,0.042
"Fairfield",0.096,0.018
"Greenwich",0.105,0.019
"Monroe",0.173,0.054
"New Canaan",0.074,0.038
"New Fairfield",0.08,0.037
"Newtown",0.136,0.038
"Norwalk",0.26,0.034
"Redding",0.049,0.047
"Ridgefield",0.049,0.021
"Shelton",0.133,0.03
"Sherman",0.101,0.085
"Stamford",0.341,0.033
"Stratford",0.251,0.04
"Trumbull",0.057,0.018
"Weston",0.027,0.028
"Westport",0.053,0.02
"Wilton",0.066,0.028
"Avon",0.083,0.037
"Berlin",0.127,0.061
"Bloomfield",0.206,0.065
"Bristol",0.321,0.045
"Burlington",0.058,0.041
"Canton",0.079,0.058
"East Granby",0.078,0.09
"East Hartford",0.441,0.049
"East Windsor",0.298,0.133
"Enfield",0.18,0.038
"Farmington",0.077,0.028
"Glastonbury",0.109,0.03
"Granby",0.029,0.038
"Hartford",0.751,0.031
"Hartland",0.198,0.105
"Manchester",0.403,0.049
"Marlborough",0.155,0.107
"New Britain",0.616,0.043
"Newington",0.187,0.047
"Plainville",0.336,0.1
"Rocky Hill",0.179,0.062
"Simsbury",0.08,0.037
"Southington",0.134,0.03
"South Windsor",0.142,0.064
"Suffield",0.112,0.068
"West Hartford",0.178,0.029
"Wethersfield",0.144,0.038
"Windsor",0.2,0.038
"Windsor Locks",0.207,0.069
"Barkhamsted",0.018,0.073
"Bethlehem",0.268,0.175
"Bridgewater",0.305,0.231
"Canaan",0.169,0.315
"Colebrook",0.174,0.206
"Cornwall",0.358,0.166
"Goshen",0.152,0.14
"Harwinton",0.127,0.089
"Kent",0.277,0.169
"Litchfield",0.22,0.072
"Morris",0.158,0.133
"New Hartford",0.024,0.052
"New Milford",0.192,0.048
"Norfolk",0.279,0.197
"North Canaan",0.39,0.228
"Plymouth",0.275,0.079
"Roxbury",0.104,0.156
"Salisbury",0.162,0.164
"Sharon",0.273,0.212
"Thomaston",0.128,0.08
"Torrington",0.336,0.055
"Warren",0.265,0.186
"Washington",0.138,0.132
"Watertown",0.083,0.037
"Winchester",0.269,0.105
"Woodbury",0.156,0.066
"Chester",0.094,0.107
"Clinton",0.2,0.062
"Cromwell",0.09,0.049
"Deep River",0.271,0.165
"Durham",0.046,0.057
"East Haddam",0.179,0.085
"East Hampton",0.081,0.049
"Essex",0.091,0.08
"Haddam",0.133,0.095
"Killingworth",0.068,0.083
"Middlefield",0.108,0.08
"Middletown",0.283,0.045
"Old Saybrook",0.234,0.118
"Portland",0.047,0.048
"Westbrook",0.135,0.123
"Ansonia",0.507,0.113
"Beacon Falls",0.133,0.09
"Bethany",0.054,0.059
"Branford",0.198,0.051
"Cheshire",0.03,0.021
"Derby",0.424,0.13
"East Haven",0.321,0.065
"Guilford",0.094,0.036
"Hamden",0.241,0.042
"Madison",0.063,0.037
"Meriden",0.489,0.044
"Middlebury",0.108,0.076
"Milford",0.181,0.033
"Naugatuck",0.259,0.054
"New Haven",0.614,0.033
"North Branford",0.18,0.077
"North Haven",0.097,0.042
"Orange",0.033,0.031
"Oxford",0.082,0.057
"Prospect",0.067,0.053
"Seymour",0.155,0.061
"Southbury",0.126,0.05
"Wallingford",0.159,0.029
"Waterbury",0.6,0.036
"West Haven",0.415,0.051
"Wolcott",0.088,0.042
"Woodbridge",0.11,0.065
"Bozrah",0.246,0.151
"Colchester",0.176,0.056
"East Lyme",0.073,0.034
"Franklin",0.132,0.13
"Griswold",0.296,0.122
"Groton",0.32,0.054
"Lebanon",0.055,0.062
"Ledyard",0.166,0.061
"Lisbon",0.147,0.096
"Lyme",0.244,0.188
"Montville",0.186,0.058
"New London",0.634,0.076
"North Stonington",0.363,0.174
"Norwich",0.449,0.06
"Old Lyme",0.118,0.069
"Preston",0.477,0.187
"Salem",0.067,0.065
"Sprague",0.216,0.158
"Stonington",0.117,0.046
"Voluntown",0.162,0.132
"Waterford",0.141,0.046
"Andover",0.159,0.122
"Bolton",0.095,0.079
"Columbia",0.236,0.144
"Coventry",0.074,0.052
"Ellington",0.117,0.051
"Hebron",0.084,0.055
"Mansfield",0.171,0.083
"Somers",0.139,0.063
"Stafford",0.273,0.075
"Tolland",0.081,0.044
"Union",0.104,0.296
"Vernon",0.305,0.064
"Willington",0.25,0.123
"Ashford",0.394,0.148
"Brooklyn",0.453,0.162
"Canterbury",0.017,0.069
"Chaplin",0.157,0.11
"Eastford",0.074,0.153
"Hampton",0.162,0.175
"Killingly",0.278,0.067
"Plainfield",0.303,0.08
"Pomfret",0.031,0.065
"Putnam",0.392,0.11
"Scotland",0.248,0.152
"Sterling",0.33,0.155
"Thompson",0.272,0.105
"Windham",0.62,0.082
"Woodstock",0.062,0.064
