"Town","Total Population 1-2x FPL Level","90% MoE"
"Connecticut",444821,8127
"Bethel",2051,493
"Bridgeport",33707,2169
"Brookfield",808,223
"Danbury",13468,1721
"Darien",365,187
"Easton",122,78
"Fairfield",3409,545
"Greenwich",4395,700
"Monroe",1750,564
"New Canaan",942,425
"New Fairfield",963,321
"Newtown",2484,554
"Norwalk",9932,1282
"Redding",311,142
"Ridgefield",1014,333
"Shelton",2587,556
"Sherman",211,123
"Stamford",18976,1857
"Stratford",7109,1087
"Trumbull",2223,497
"Weston",174,113
"Westport",859,328
"Wilton",684,224
"Avon",830,261
"Berlin",1569,510
"Bloomfield",2387,764
"Bristol",8545,1224
"Burlington",402,154
"Canton",593,220
"East Granby",328,159
"East Hartford",10326,1388
"East Windsor",1609,591
"Enfield",4166,666
"Farmington",1346,345
"Glastonbury",2587,497
"Granby",476,171
"Hartford",30335,2124
"Hartland",188,78
"Manchester",9142,1233
"Marlborough",479,386
"New Britain",16535,1508
"Newington",2869,602
"Plainville",2783,691
"Rocky Hill",1968,539
"Simsbury",1365,419
"Southington",3469,566
"South Windsor",1491,607
"Suffield",749,276
"West Hartford",6188,849
"Wethersfield",2369,468
"Windsor",2579,553
"Windsor Locks",1188,331
"Barkhamsted",89,60
"Bethlehem",422,233
"Bridgewater",257,108
"Canaan",178,70
"Colebrook",157,76
"Cornwall",168,57
"Goshen",235,120
"Harwinton",356,168
"Kent",375,182
"Litchfield",831,229
"Morris",289,115
"New Hartford",519,200
"New Milford",2798,677
"Norfolk",224,98
"North Canaan",571,260
"Plymouth",1473,446
"Roxbury",163,79
"Salisbury",456,220
"Sharon",462,193
"Thomaston",731,230
"Torrington",5957,763
"Warren",112,58
"Washington",190,123
"Watertown",1862,450
"Winchester",1817,521
"Woodbury",869,285
"Chester",387,162
"Clinton",1638,443
"Cromwell",1263,403
"Deep River",734,413
"Durham",259,187
"East Haddam",679,269
"East Hampton",714,267
"Essex",442,207
"Haddam",401,281
"Killingworth",385,201
"Middlefield",426,177
"Middletown",5622,809
"Old Saybrook",1332,503
"Portland",519,168
"Westbrook",1204,483
"Ansonia",3075,837
"Beacon Falls",450,204
"Bethany",149,84
"Branford",2449,481
"Cheshire",995,259
"Derby",1838,638
"East Haven",3763,769
"Guilford",1282,356
"Hamden",6859,944
"Madison",1347,336
"Meriden",11243,1240
"Middlebury",661,299
"Milford",5480,846
"Naugatuck",3974,794
"New Haven",26395,2085
"North Branford",1413,549
"North Haven",1387,407
"Orange",624,199
"Oxford",527,248
"Prospect",565,200
"Seymour",1470,374
"Southbury",2030,520
"Wallingford",3709,604
"Waterbury",22344,1739
"West Haven",10106,1303
"Wolcott",1071,338
"Woodbridge",540,251
"Bozrah",281,148
"Colchester",1412,427
"East Lyme",1274,264
"Franklin",162,65
"Griswold",1945,583
"Groton",5397,818
"Lebanon",563,233
"Ledyard",1069,446
"Lisbon",524,210
"Lyme",290,191
"Montville",2003,576
"New London",4777,798
"North Stonington",829,450
"Norwich",7240,1103
"Old Lyme",626,227
"Preston",745,365
"Salem",242,123
"Sprague",238,126
"Stonington",1879,507
"Voluntown",295,154
"Waterford",1680,428
"Andover",272,124
"Bolton",313,133
"Columbia",621,436
"Coventry",822,288
"Ellington",1261,543
"Hebron",606,273
"Mansfield",1554,474
"Somers",619,241
"Stafford",1494,434
"Tolland",886,348
"Union",65,44
"Vernon",3700,663
"Willington",733,315
"Ashford",685,372
"Brooklyn",1388,547
"Canterbury",346,137
"Chaplin",194,98
"Eastford",121,49
"Hampton",141,53
"Killingly",2899,571
"Plainfield",1598,423
"Pomfret",203,112
"Putnam",2478,593
"Scotland",229,111
"Sterling",541,267
"Thompson",1302,386
"Windham",4947,769
"Woodstock",615,264
